Smiles,ACT_CDK5
CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)S(=O)(=O)N,0.013
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C#N)C#N,0.830
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F,0.084
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)C,0.031
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F,0.052
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)N(=O)=O)F,0.310
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl,0.112
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Br,0.114
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Cl,0.025
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N,0.228
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F,2.265
Cc1ccc(cc1NS(=O)(=O)C)Nc2ncc3ccc(=O)n(c3n2)C(C)C,0.120
Cc1cc(ccc1F)Nc2ncc3ccc(=O)n(c3n2)C(C)C,0.013
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F,0.180
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)O,0.107
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N,0.076
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C#N)C#N,0.430
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F,0.021
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl,0.091
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F,0.040
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC(F)(F)F,0.190
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C,0.295
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC,0.160
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F,0.043
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F,0.038
CCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F,0.430
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,0.018
c1cc(c(cc1Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F)Cl)Br,25.000
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F,0.110
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)C,0.201
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)I,0.049
c1cc(c(cc1Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F)Cl)O,0.250
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)S(=O)(=O)N,0.020
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N,0.980
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)C,0.008
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)O,0.770
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)Cl)Cl,0.039
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N,0.041
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)N(=O)=O)F,0.480
CCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F,0.650
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC,0.130
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)I,0.017
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC,0.160
CC(C)(C)OC(=O)Nc1ccc(cc1)Nc2ncc3ccc(=O)n(c3n2)C,1.140
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N,0.015
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC,0.050
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C,0.065
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N,0.039
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C,0.072
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC,0.022
c1ccc(cc1)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F,0.400
CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)NC(=O)C,0.230
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)N(=O)=O,0.375
CCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3OC,1.680
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O,0.196
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C#N)C#N,0.160
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC,0.010
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)OC,0.069
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F,0.310
CCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F,0.470
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl,0.027
CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl,0.093
CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC,0.300
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)I,0.085
CCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F,0.240
c1cc(=O)n(c2c1cnc(n2)Nc3c(cc(cc3F)F)F)CC(F)(F)F,25.000
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl,0.292
CCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl,0.445
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,0.244
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C,0.300
CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3C(F)(F)F)C(F)(F)F,2.445
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F,0.280
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)F,0.169
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C(=O)C,0.049
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Br,0.124
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC,0.048
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F,0.590
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F,0.070
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N,0.041
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)F,0.108
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC(F)(F)F,0.063
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Br,0.092
CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)Cl)Cl,0.106
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N,0.170
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(=O)O)O,0.290
CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F,0.200
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC,0.012
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)C,0.131
Cc1cc(ccc1NC(=O)C)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F,25.000
COc1ccc(cc1F)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F,0.180
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C(F)(F)F,0.071
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)I,0.088
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F,0.029
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccccc3,0.075
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F,0.039
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F,0.033
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)C,0.039
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)C)O)C,0.028
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,0.047
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F,0.081
CCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O,0.870
c1cc(c(cc1O)F)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F,0.720
CCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)OC(C(F)F)(F)F,0.568
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,0.031
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N,0.042
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Br,0.086
CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)S(=O)(=O)N,0.010
Cc1ccc(cc1I)Nc2ncc3ccc(=O)n(c3n2)C(C)C,0.021
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F,0.120
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N,1.000
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F,0.021
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C,0.205
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F,0.150
Cn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O,25.000
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F,0.120
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F,0.013
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F,0.110
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)C,0.035
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F,0.085
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N,0.064
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)F,0.723
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Cl,0.050
